Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Armenia,Included / International,Price / International,Compare At Price / International,Status
rifle-jeans-blu-1,Rifle Jeans Blu,"
						<p><strong>Rifle jeans blu lavaggio scuro,modello regular fit ,etichetta brand pelle posteriore.</strong><br></p>
							<table width=""100%"">
								<tbody>
									<tr>
										<td><strong>SCHEDA PRODOTTO</strong></td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Sesso</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Uomo</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Taglia</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">30 - 42 <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Colore</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Blu <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Composizione</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">100% Cotone <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Condizioni Usato</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Buone <br>
										</td>
									</tr>
								</tbody>
							</table>
							<p><br></p>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td data-mce-fragment=""1""><strong>MISURE</strong>
										</td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Vita</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">39 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Cavallo</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">26 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Lunghezza totale</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">103 cm</td>
							</tr>
						
								</tbody>
							</table>
						<br>
							<span data-mce-fragment=""1"">Guida alle taglie e misure,</span>
							<strong data-mce-fragment=""1"">
								<a href=""https://www.secondchancy.com/pages/guida-misure"" title=""Guida Misure"" data-mce-fragment=""1"" data-mce-href=""https://www.secondchancy.com/pages/guida-misure"">clicca qui.</a>
							</strong>
						<br>
					",SecondChancy,Apparel & Accessories > Clothing,Jeans Uomo,"Jeans Uomo, Abbigliamento Uomo, Inventario",TRUE,Size,42,Color,Blu,,,C15-A9644,0,shopify,1000,deny,manual,14,14,TRUE,TRUE,,https://amgw.co.uk/shopify_images/a9644_1.jpg,1,,FALSE,,"Rifle jeans blu lavaggio scuro,modello regular fit ,etichetta brand pelle posteriore",,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9644_1.jpg,kg,,,TRUE,TRUE,,,active
rifle-jeans-blu-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9644_2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
rifle-jeans-blu-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9644_3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,
rifle-jeans-blu-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9644_4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,
cardigan-ricamato-bianco-1,Cardigan Ricamato Bianco,"
						<p><strong>Cardigan ricamato ad uncinetto traforato bianco tinta unita con chiusura frontale bottoni.</strong><br></p>
							<table width=""100%"">
								<tbody>
									<tr>
										<td><strong>SCHEDA PRODOTTO</strong></td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Sesso</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Donna</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Taglia</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">L <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Colore</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Bianco <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Composizione</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Lana <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Condizioni Usato</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Buone,etichetta interna assente.Necessita lavaggio <br>
										</td>
									</tr>
								</tbody>
							</table>
							<p><br></p>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td data-mce-fragment=""1""><strong>MISURE</strong>
										</td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Spalle</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">51 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Braccio</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">55 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Petto</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">54 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Lunghezza totale</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">58 cm</td>
							</tr>
						
								</tbody>
							</table>
						<br>
							<span data-mce-fragment=""1"">Guida alle taglie e misure,</span>
							<strong data-mce-fragment=""1"">
								<a href=""https://www.secondchancy.com/pages/guida-misure"" title=""Guida Misure"" data-mce-fragment=""1"" data-mce-href=""https://www.secondchancy.com/pages/guida-misure"">clicca qui.</a>
							</strong>
						<br>
					",Vintage,Apparel & Accessories > Clothing,Maglioni Donna,"Inventario, Abbigliamento Donna, Maglioni Donna",TRUE,Size,L,Color,Bianco,,,C15-A9645,0,shopify,1000,deny,manual,13,13,TRUE,TRUE,,https://amgw.co.uk/shopify_images/a9645_1.jpg,1,,FALSE,,Cardigan ricamato ad uncinetto traforato bianco tinta unita con chiusura frontale bottoni,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9645_1.jpg,kg,,,TRUE,TRUE,,,active
cardigan-ricamato-bianco-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9645_2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
cardigan-ricamato-bianco-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9645_3.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,
cardigan-ricamato-bianco-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9645_4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas-bermuda-blu-1,Adidas Bermuda Blu,"
						<p><strong>Adidas bermuda blu con dettagli bianchi , logo ricamato frontale , modello dry fit.</strong><br></p>
							<table width=""100%"">
								<tbody>
									<tr>
										<td><strong>SCHEDA PRODOTTO</strong></td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Sesso</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Uomo</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Taglia</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">M - 46 <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Colore</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Blu <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Composizione</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">100% Poliestere <br>
										</td>
									</tr>
									<tr data-mce-fragment=""1"">
										<td style=""width: 47.3768%;"" data-mce-fragment=""1"">Condizioni Usato</td>
										<td style=""width: 47.6232%;"" data-mce-fragment=""1"">Buone <br>
										</td>
									</tr>
								</tbody>
							</table>
							<p><br></p>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									<tr data-mce-fragment=""1"">
										<td data-mce-fragment=""1""><strong>MISURE</strong>
										</td>
									</tr>
								</tbody>
							</table>
							<table width=""100%"" data-mce-fragment=""1"">
								<tbody data-mce-fragment=""1"">
									
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Vita</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">32 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Cavallo</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">30 cm</td>
							</tr>
							<tr data-mce-fragment=""1"">
								<td style=""width: 48.5841%;"" data-mce-fragment=""1"">Lunghezza totale</td>
								<td style=""width: 48.4159%;"" data-mce-fragment=""1"">42 cm</td>
							</tr>
						
								</tbody>
							</table>
						<br>
							<span data-mce-fragment=""1"">Guida alle taglie e misure,</span>
							<strong data-mce-fragment=""1"">
								<a href=""https://www.secondchancy.com/pages/guida-misure"" title=""Guida Misure"" data-mce-fragment=""1"" data-mce-href=""https://www.secondchancy.com/pages/guida-misure"">clicca qui.</a>
							</strong>
						<br>
					",Adidas,Apparel & Accessories > Clothing,Pantaloncini Sport Uomo,"Pantaloncini Sport Uomo, Sport Uomo, Abbigliamento Uomo, Inventario",TRUE,Size,46,Color,Blu,,,C15-A9646,0,shopify,1000,deny,manual,10,10,TRUE,TRUE,,https://amgw.co.uk/shopify_images/a9646_1.jpg,1,,FALSE,,"Adidas bermuda blu con dettagli bianchi , logo ricamato frontale , modello dry fit",,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9646_1.jpg,kg,,,TRUE,TRUE,,,active
adidas-bermuda-blu-1,,,,,,,,,,,,,,,,,,,,,,,,,https://amgw.co.uk/shopify_images/a9646_2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
