Codice ,Titolo ,Descrizione ,Genere,Taglia Descrizione ,Taglia Variante,Colore ,Composizione ,Condizioni ,Misure ,Prezzo ,Tipo Di Prodotto ,Fornitore ,Collezione ,Tag. ,Posizione
A9644,Rifle Jeans Blu,"Rifle jeans blu lavaggio scuro,modello regular fit ,etichetta brand pelle posteriore",M,30 - 42,42,Blu,100% Cotone,Buone,39-26-103,€ 14.00,Jeans Uomo,SecondChancy,Nuovi Arrivi/Uomo,Jeans Uomo/Abbigliamento Uomo/Inventario,C15
A9645,Cardigan Ricamato Bianco,Cardigan ricamato ad uncinetto traforato bianco tinta unita con chiusura frontale bottoni,F,L,L,Bianco,Lana,"Buone,etichetta interna assente.Necessita lavaggio",51-55-54-58,€ 13.00,Maglioni Donna,Vintage,Nuovi Arrivi/Donna,Inventario /Abbigliamento Donna/Maglioni Donna,C15
A9646,Adidas Bermuda Blu,"Adidas bermuda blu con dettagli bianchi , logo ricamato frontale , modello dry fit",M,M - 46,46,Blu,100% Poliestere,Buone,32-30-42,€ 10.00,Pantaloncini Sport Uomo,Adidas,Nuovi Arrivi/Uomo,Pantaloncini Sport Uomo/Sport Uomo/Abbigliamento Uomo/Inventario,C15
A9647,Liu Jo Maglia Nera,"Liu Jo maglia nera tinta unita con stampa frontale , girocollo",F,L,L,Nero,95% Cotone 5% Elastan,Buone,38-63-46-79,€ 8.00,T-Shirt Donna,Liu Jo,Nuovi Arrivi/Donna,T-Shirt Donna/Abbigliamento Donna/Inventario,C15
A9648,Adidas Pantaloncino Sportivo,"Adidas pantaloncino sportivo nero ,dettaglio logo stampato laterale , tasche frontali",F,38,38,Nero,100% Cotone,Buone,28-29-49,€ 10.00,Pantaloncini Sport Donna,Adidas,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Pantaloncino Sport Donna,C15
A9649,Gonna Nera A Coste,"Gonna lunga elasticizzata nera a coste , modello a tubino, dettaglio spacco posteriore , ideale per l'inverno",F,46,46,Nero,100% Acrilico,Buone,30-93,€ 9.00,Gonna,Vintage,Nuovi Arrivi / Donna,Inventario / Abbigliamento Donna / Gonne Donna,C15
A9650,Fila Polo Rosa,"Fila polo rosa tinta unita con logo ricamato frontale ,bottoni al colletto",M,XL,XL,Rosa,100% Cotone,Buone,52-25-59-72,€ 8.00,Polo Uomo,Fila,Nuovi Arrivi/Uomo,Polo Uomo/Abbigliamento Uomo/Inventario,C15
A9651,Jack Wolfskin Giubbotto Verde,"Jack Wolfskin giubbotto verde con logo ricamato frontale , tasche e cappuccio, modello felpato interno adatto per l'inverno",F,L,L,Verde,65% Poliestere 35% Cotone,Buone,49-5-64-65,€ 20.00,Giubbotto Uomo,SecondChancy,Nuovi Arrivi/Donna,Giubbotti Donna/Abbigliamento Donna/Inventario,C15
A9652,G-Star Giubbotto Grigio,"G-Star Raw giubbotto grigio tinta unita con chiusura zip frontale e dettaglio bottoni, logo ricamato inferiore , modello leggero adatto per le mezze stagioni",F,S,S,Grigio,100% Poliestere,Buone,37-61-41-58,€ 18.00,Giubbotto Donna,G-Star Raw,Nuovi Arrivi/Donna,Giubbotti Donna/Abbigliamento Donna/Inventario,C15
A9653,Lev's Jeans Nero,"Levi's jeans nero tinta unita con chiusura frontale classica , modello regular fit con etichetta brand posteriore",M,30X32 - 44,44,Nero,60% Cotone 40% Poliestere,Buone,37-26-101,€ 16.00,Jeans Uomo,Levi's,Nuovi Arrivi/Uomo,Jeans Uomo/Abbigliamento Uomo/Inventario,C15
